Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.43006,-0.028684,-0.26994,0,0,0,0.29429,0.0025713,-5.0314E-18,7.581E-19,0.013953,8.928E-20,0.016514,0,0,0,0,0,0,package://carone/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://carone/meshes/base_link.STL,,base_part-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bl_rim,0.035554,1.1292E-06,-1.9667E-08,0,0,0,0.52126,0.0016561,-5.114E-08,1.6351E-10,0.0010043,1.5724E-11,0.0010043,0,0,0,0,0,0,package://carone/meshes/bl_rim.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://carone/meshes/bl_rim.STL,,rear_left_rim-1,Origin_BL,Axis_BL,BL,continuous,-0.19014,-0.20101,-0.26994,2.6592,0,-1.5708,base_link,1,0,0,50,100,,,,,,,,,,
bl_tyre,-7.8901E-12,-5.2734E-11,-0.00016637,0,0,0,0.20778,0.001018,-2.1912E-16,-1.8068E-14,0.001018,3.0747E-14,0.0017529,0,0,0,0,0,0,package://carone/meshes/bl_tyre.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://carone/meshes/bl_tyre.STL,,rear_left_wheel-1,Origin_BL_tyre,,BL_tyre,fixed,0.031367,0,0,1.5708,0.45048,-1.5708,bl_rim,0,0,0,,,,,,,,,,,,
br_rim,0.0355543879000274,1.12922776349111E-06,-1.96653651141077E-08,0,0,0,0.5212595765803,0.00165605036422283,-5.11397356690224E-08,1.63501215578596E-10,0.00100431964927736,1.57202680370729E-11,0.00100426065148434,0,0,0,0,0,0,package://carone/meshes/br_rim.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://carone/meshes/br_rim.STL,,rear_right_rim-1,Origin_BR,Axis_BR,BR,continuous,-0.19014,0.14364,-0.26994,-0.16357,0,1.5708,base_link,1,0,0,50,100,,,,,,,,,,
br_tyre,3.78297393410776E-11,3.75887376780071E-11,-0.00016637209217879,0,0,0,0.20777750280836,0.0010180053623715,-1.95698492133634E-17,-3.87877866965901E-15,0.00101800536237194,-3.54589855853757E-14,0.00175294336659732,0,0,0,0,0,0,package://carone/meshes/br_tyre.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carone/meshes/br_tyre.STL,,rear_right_wheel-1,Origin_BR_tyre,,BR_tyre,fixed,0.031367,0,0,1.5708,-0.50843,-1.5708,br_rim,0,0,0,,,,,,,,,,,,
body_link,0.204577583766421,0.199814344019782,-0.25374023596054,0,0,0,38.1662503482962,2.6370812954841,0.00510956884646856,-0.00285596742227794,2.9547878788717,0.0872880841166849,1.03489975512672,0,0,0,0,0,0,package://carone/meshes/body_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carone/meshes/body_link.STL,,body_link-1,Origin_body_joint,,body_joint,fixed,-0.67676,0.17439,-0.27592,1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
lidar_link,-6.66133814775094E-16,-2.77555756156289E-17,0.03175,0,0,0,0.128703699690764,6.4005744146297E-05,0,2.38401050191234E-21,6.4005744146297E-05,2.68784043852584E-21,4.15172394462466E-05,0,0,0,0,0,0,package://carone/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carone/meshes/lidar_link.STL,,lidar_link-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,0.20311,0.37576,-0.30198,1.5708,0.92384,3.1416,body_link,0,0,0,,,,,,,,,,,,
R_steerlink,-0.698592112433997,0.178838877569428,-0.269935240239506,0,0,0,0.00684767490112769,1.12403678391785E-06,1.81305393244575E-13,-1.1140740839674E-13,1.8161497531784E-07,-2.1987690233697E-13,1.13256633136179E-06,0,0,0,0,0,0,package://carone/meshes/R_steerlink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carone/meshes/R_steerlink.STL,,front_right_connect-1,Origin_Rsteer,Axis_Rsteer,Rsteer,revolute,0,0,0,0,0,-0.0028624,base_link,0,0,1,50,100,-0.524,0.524,,,,,,,,
fr_rim,0.178209092736747,-0.275582238014693,0.69638334223794,0,0,0,0.521259576580297,0.00165605036422282,-5.11397356689796E-08,1.63501214944676E-10,0.00100431964927735,1.57202693787731E-11,0.00100426065148434,0,0,0,0,0,0,package://carone/meshes/fr_rim.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://carone/meshes/fr_rim.STL,,front_right_rim-1,Origin_FR,Axis_FR,FR,continuous,0,0,0,-2.3163,0,1.5708,R_steerlink,1,0,0,50,100,,,,,,,,,,
fr_tyre,7.58515472654153E-12,-4.32347491141627E-11,-0.000166372092113537,0,0,0,0.207777502808153,0.0010180053623714,-1.36880524276295E-16,-2.21259251938874E-14,0.00101800536237126,1.92971624259052E-14,0.00175294336659694,0,0,0,0,0,0,package://carone/meshes/fr_tyre.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carone/meshes/fr_tyre.STL,,front_right_wheel-1,Origin_FR_tyre,,FR_tyre,fixed,0.17402,-0.27558,0.69638,1.5708,-0.53496,-1.5708,fr_rim,0,0,0,,,,,,,,,,,,
L_steerlink,-9.07655284265729E-10,0.023053675241899,-0.00762000007042807,0,0,0,0.00685729546814415,1.12969971208241E-06,-4.2776774157117E-13,-1.12514721330923E-13,1.82174453610605E-07,-4.12384145533541E-15,1.13771501163283E-06,0,0,0,0,0,0,package://carone/meshes/L_steerlink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carone/meshes/L_steerlink.STL,,front_left_connect-1,Origin_Lsteer,Axis_Lsteer,Lsteer,revolute,-0.69814,-0.21512,-0.26232,0,0,3.1196,base_link,0,0,1,50,100,-0.524,0.524,,,,,,,,
fl_rim,0.0224562515014287,1.12922776335234E-06,-1.96653650030854E-08,0,0,0,0.521259576580302,0.00165605036422283,-5.11397356677251E-08,1.63501212425699E-10,0.00100431964927736,1.57202685287755E-11,0.00100426065148434,0,0,0,0,0,0,package://carone/meshes/fl_rim.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://carone/meshes/fl_rim.STL,,front_left_rim-1,Origin_FL,Axis_FL,FL,continuous,0,0,-0.00762,-1.564,0,1.5708,L_steerlink,1,0,0,50,100,,,,,,,,,,
fl_tyre,-1.52875490044835E-11,-1.12617692948902E-11,-0.000166372092002626,0,0,0,0.207777502807793,0.0010180053623706,1.04083408558608E-17,3.21282571113605E-15,0.00101800536237065,1.22835494125218E-14,0.00175294336659621,0,0,0,0,0,0,package://carone/meshes/fl_tyre.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carone/meshes/fl_tyre.STL,,front_left_wheel-1,Origin_FL_tyre,,FL_tyre,fixed,0.018502,0,0,-1.5708,-0.75862,-1.5708,fl_rim,0,0,0,,,,,,,,,,,,
